																																																					
	RetailCo: Project Plan																																																				
	Increasing the percentage of MWBE suppliers																																																				
	Deploying $25M investment in MWBEs via. CDFI																																																				
				Week 1					Week 2					Week 3					Week 4					Week 5					Week 6					Week 7					Week 8					Week 9					Week 10				
	Sub-project	Phase	Activity	M	T	W	Th	F	M	T	W	Th	F	M	T	W	Th	F	M	T	W	Th	F	M	T	W	Th	F	M	T	W	Th	F	M	T	W	Th	F	M	T	W	Th	F	M	T	W	Th	F	M	T	W	Th	F
	MWBE Supplier %	Research	Overall																																																		
	MWBE Supplier %	Research	Identify stakeholders to interview (RetailCo procurement & external MWBE owners)																																																		
	MWBE Supplier %	Research	Schedule and conduct interviews																																																		
	MWBE Supplier %	Research	Develop quantitative survey and work with third party survey panel provider to deploy survey																																																		
	MWBE Supplier %	Research	Manage survey panel provider to ensure quality and quantity of responses																																																		
	MWBE Supplier %	Research	Consolidate insights from stakeholder interviews and quantitative survey to present to partner team and RetailCo leadership																																																		
	MWBE Supplier %	Fact-base	Overall																																																		
	MWBE Supplier %	Fact-base	Develop procurement data request / requirements to send to RetailCo																																																		
	MWBE Supplier %	Fact-base	Develop shell deck to frame how to tell the story																																																		
	MWBE Supplier %	Fact-base	Create data model to analyzeRetailCo inputs																																																		
	MWBE Supplier %	Fact-base	Run data through model and analyze by all necessary criteria																																																		
	MWBE Supplier %	Fact-base	Check with Finance and procurement counterparts to ensure accuracy before presenting to leaders																																																		
	MWBE Supplier %	Fact-base	Consolidate factbase to present to partner team and RetailCo leadership																																																		
	MWBE Supplier %	Strategy Dev.	Overall																																																		
	MWBE Supplier %	Strategy Dev.	Create strategic hypothesis to test with client																																																		
	MWBE Supplier %	Strategy Dev.	Prepare materials for client strategy worksession																																																		
	MWBE Supplier %	Strategy Dev.	Hold strategy session with client leadership to co-create (vision, mission, strategic pillars, etc.)																																																		
	MWBE Supplier %	Strategy Dev.	Refine strategy based on strategy session																																																		
	MWBE Supplier %	Strategy Dev.	Share updated Strategy with client leadership																																																		
	MWBE Supplier %	Roll out	Overall																																																		
	MWBE Supplier %	Roll out	Identify quick-win opportunities to get ball rolling and use as success stories																																																		
	MWBE Supplier %	Roll out	Train procurement staff to execute opportunities and to source additional in line with strategy																																																		
	MWBE Supplier %	Roll out	Iterate on approach based on early learnings from quick win opportunities																																																		
	MWBE Investment	Research	Overall																																																		
	MWBE Investment	Research	Identify stakeholders to interview (RetailCo finance professionals, industry peers, etc.)																																																		
	MWBE Investment	Research	Schedule and conduct interviews																																																		
	MWBE Investment	Research	Consolidate interview insights to inform approach, including return requirements (financial & non)																																																		
	MWBE Investment	Invest. Thesis	Overall																																																		
	MWBE Investment	Invest. Thesis	Determine shell investment thesis and receive leadership approval re: content/format																																																		
	MWBE Investment	Invest. Thesis	Develop investment thesis per approved structure (further planning to come)																																																		
	MWBE Investment	Invest. Thesis	Share investment thesis with client for approval																																																		
	MWBE Investment	Fund Options	Overall																																																		
	MWBE Investment	Fund Options	Develop long-list of CDFI options, along with alternate investment management sources																																																		
	MWBE Investment	Fund Options	Review each of the long-list fund options against  all criteria from investment thesis																																																		
	MWBE Investment	Fund Options	Develop initial short-list of potential fund options																																																		
	MWBE Investment	Fund Options	Consolidate insights and short-list into update for leadership teams (BCG & RetailCo)																																																		
	MWBE Investment	Op. Model	Overall																																																		
	MWBE Investment	Op. Model	Determine relevant RetailCo stakeholders to oversee investment & play other roles as required																																																		
	MWBE Investment	Op. Model	Clearly define roles, responsibilities, and decision rights for each stakeholder																																																		
	MWBE Investment	Op. Model	Onboard stakeholders to the project and ensure they are prepared to interact with fund per R&R																																																		
	MWBE Investment	Op. Model	Share Operating Model update with leadership teams																																																		
	MWBE Investment	Short-list	Overall																																																		
	MWBE Investment	Short-list	Conduct due diligence on each short-listed fund																																																		
	MWBE Investment	Short-list	Priorize short-listed funds based on investment thesis																																																		
	MWBE Investment	Selection	Overall																																																		
	MWBE Investment	Selection	Develop recommendation materials with top options for approval from client 																																																		
	MWBE Investment	Selection	Present options to client for decision/approval																																																		
Add 10-week project plan dataset
